title,description,url
 Learning C with Pebble (Mike Jipping),"The book digs into linkers, compilers, operating systems, and computer architecture to understand how the different parts of the computer interact with programs. It begins with a review of C/C++ and explanations of how libraries, linkers, and Makefiles work.",https://freecomputerbooks.com/Learning-C-with-Pebble.html
 Scientific Programming and Computer Architecture,"The topic of programming in the C language is vast, and the content selection represents a carefully selected minimal set of chapters which is both manageable for first-time programmers and a good basis for further growth.",https://freecomputerbooks.com/Scientific-Programming-and-Computer-Architecture.html
 How To Think Like A Computer Scientist: C Version,"It teaches how to program in C, assuming that the student has already learnt how to formulate algorithms in a functional style. Students will become a better C programmer, capable of writing programs that are easier to comprehend, maintain, etc.",https://freecomputerbooks.com/How-To-Think-Like-A-Computer-Scientist-C-Version.html
" Functional C (Pieter Hartel, Henk Muller )","This a book on C/DOS programming It is intended to provide the cheapest and best C/DOS programming book to who cannot afford to buy costlier books. Written to open many secrets of C, it also introduces various approaches to solve different problems.",https://freecomputerbooks.com/Functional-C.html
 A to Z of C: The Evolving Book on C/DOS/Turbo C Programming,"You'll learn how to create algorithms and pseudocode to think through and design programs; translate your designs and plans into working C programs; write, compile, test, and debug your code; use data types, arrays, pointers, strings, file operations.",https://freecomputerbooks.com/A-to-Z-of-C.html
 C Programming Language and Software Design (Tim Bailey),"Simply put, this is a book for programmers, learners taking other computer courses, and other computer users who would like to be versed with the workings of the most popular computer language, C.",https://freecomputerbooks.com/C-Programming-Language-and-Software-Design.html
" Programming in C (Bharat Kinariwala, et al)","This book represents a comprehensive look at the C programming language and its features. Basic computer literacy is assumed, but no special knowledge is needed. It takes you through basic programming concepts and shows you how to implement them in C.",https://freecomputerbooks.com/Programming-in-C.html
 C Programming (Wikibook),"This book will give you an interesting glimpse into a powerful lower-level world, using a series of web development examples. It explains how to write and compile C programs for the Linux operating system, introduces operators for manipulating C expressions, etc.",https://freecomputerbooks.com/C-Programming-Wikibook.html
 C Programming in Linux (David Haskins),"This book is about the latest version of the C Standard, ISO/IEC 9899:2000 plus TC1 and TC2. It is structured as a detailed, systematic analysis of that entire standard. This book is driven by existing developer practices, not ideal developer practices.",https://freecomputerbooks.com/C-Programming-in-Linux.html
 The New C Standard: An Economic and Cultural Commentary,"This book is a tutorial. Its aim is to teach C to a beginner, but with enough of the details so as not be outgrown as the years go by. It presumes that you have some previous aquaintance with programming.",https://freecomputerbooks.com/The-New-C-Standard.html
" C Programming Tutorial, 4th Edition (K&R Version), by Mark Burgess",This book is guide to UNIX software development in C for professional programmers and students. It focuses on the UNIX system call interface - concentrates on a detailed study of the UNIX system call interface.,https://freecomputerbooks.com/C-Programming-Tutorial-by-Mark-Burgess.html
 Programming in C - UNIX System Calls and Subroutines Using C,"This free book contains 88 C programs used to teach C programming - a typical ""learning by examples"" book. It is designed with beginners in mind and perfectly suitable for intermediate C programmers",https://freecomputerbooks.com/Programming-in-C-UNIX-System-Calls-and-Subroutines-using-C.html
